year,month,day,week_of_summer,sea_temp_c,wave_height_m,wind_speed_kmh,current_strength,weather_condition,uv_index,historical_incidents,crowd_level,is_safe
2023,7,1,1,27.1,0.54,23.2,5.5,Clear,9.4,1,High,1
2023,7,2,1,27.7,0.37,13.8,1.9,Clear,7.6,0,Medium,1
2023,7,3,1,26.0,0.3,12.4,0.0,Partly Cloudy,9.1,0,Low,1
2023,7,4,1,24.8,0.36,25.6,3.9,Clear,8.0,0,Medium,0
2023,7,5,1,26.2,0.76,7.9,4.1,Clear,7.0,6,Low,0
2023,7,6,1,26.7,0.2,5.3,1.9,Clear,8.2,0,Medium,1
2023,7,7,1,27.2,0.96,25.2,6.1,Clear,7.7,3,Medium,0
2023,7,8,2,26.1,0.93,28.8,5.6,Clear,10.5,5,Medium,1
2023,7,9,2,24.8,1.02,25.2,5.6,Clear,11.2,1,Medium,1
2023,7,10,2,25.9,0.97,29.4,4.4,Windy,9.8,3,Medium,0
2023,7,11,2,26.9,0.7,18.0,3.7,Clear,8.4,2,Medium,0
2023,7,12,2,26.2,0.7,17.4,1.9,Clear,9.0,0,Medium,1
2023,7,13,2,26.3,1.39,34.4,5.3,Stormy,10.2,4,High,0
2023,7,14,2,25.4,1.28,25.0,6.4,Clear,8.5,3,High,0
2023,7,15,3,25.6,0.47,33.4,2.6,Windy,6.6,0,High,1
2023,7,16,3,26.7,0.02,38.7,4.1,Windy,7.7,2,Low,0
2023,7,17,3,26.9,0.31,32.9,4.7,Partly Cloudy,10.1,1,High,1
2023,7,18,3,25.4,0.77,25.5,4.0,Clear,9.2,1,High,1
2023,7,19,3,26.8,0.93,18.1,6.1,Partly Cloudy,6.9,2,Medium,0
2023,7,20,3,26.5,1.61,36.7,6.1,Stormy,8.9,3,High,0
2023,7,21,3,25.4,0.66,28.7,2.7,Windy,10.6,1,High,1
2023,7,22,4,27.8,0.81,48.8,7.9,Partly Cloudy,10.7,4,Medium,1
2023,7,23,4,29.3,0.15,23.5,1.2,Clear,7.7,0,High,1
2023,7,24,4,26.1,0.31,19.7,2.9,Clear,8.0,3,Medium,0
2023,7,25,4,26.0,0.07,11.8,3.0,Clear,8.3,0,High,1
2023,7,26,4,25.7,0.75,31.2,4.0,Clear,11.8,2,Low,0
2023,7,27,4,26.2,1.35,17.8,4.9,Clear,8.6,3,Medium,0
2023,7,28,4,25.0,1.07,18.1,4.0,Clear,9.7,1,Medium,1
2023,7,29,5,24.2,1.11,13.1,6.8,Clear,8.8,3,Low,1
2023,7,30,5,27.2,0.71,18.2,3.2,Windy,8.3,1,Low,1
2023,8,1,5,29.1,0.72,24.5,5.2,Clear,9.8,4,Medium,0
2023,8,2,5,27.1,0.51,26.8,5.0,Clear,10.2,3,High,0
2023,8,3,5,27.7,0.35,33.3,5.5,Clear,7.5,4,Medium,0
2023,8,4,5,26.5,0.24,32.2,3.6,Clear,10.2,0,High,1
2023,8,5,5,27.5,0.68,22.5,5.2,Clear,6.8,5,High,0
2023,8,6,6,26.3,0.94,16.7,4.5,Clear,7.5,1,Low,1
2023,8,7,6,29.5,0.91,21.9,5.0,Clear,10.0,2,High,0
2023,8,8,6,27.5,0.63,25.9,4.9,Clear,9.1,3,Medium,0
2023,8,9,6,30.6,0.28,11.3,1.4,Clear,10.5,0,High,1
2023,8,10,6,25.8,0.74,33.0,6.5,Partly Cloudy,8.1,5,Medium,0
2023,8,11,6,27.9,0.49,20.4,2.4,Clear,8.8,0,Medium,1
2023,8,12,6,29.5,0.7,31.4,5.7,Windy,9.5,2,High,0
